name,url,description,duration,test_type,adaptive_support,remote_support
"Graduate Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/graduate-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at graduate level",41,"Cognitive; Ability","No","Yes"
"Graduate Numerical Reasoning Test - Finance","https://www.shl.com/assessments/graduate-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at graduate level",33,"Cognitive; Ability","No","Yes"
"Graduate Numerical Reasoning Test - HR","https://www.shl.com/assessments/graduate-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at graduate level",34,"Cognitive; Ability","No","Yes"
"Graduate Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/graduate-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at graduate level",43,"Cognitive; Ability","No","Yes"
"Senior Numerical Reasoning Test - Sales","https://www.shl.com/assessments/senior-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at senior level",31,"Cognitive; Ability","Yes","Yes"
"Senior Numerical Reasoning Test - Management","https://www.shl.com/assessments/senior-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at senior level",35,"Cognitive; Ability","Yes","Yes"
"Senior Numerical Reasoning Test - Technical","https://www.shl.com/assessments/senior-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at senior level",40,"Cognitive; Ability","Yes","Yes"
"Senior Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/senior-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at senior level",28,"Cognitive; Ability","Yes","Yes"
"Senior Numerical Reasoning Test - Finance","https://www.shl.com/assessments/senior-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at senior level",38,"Cognitive; Ability","Yes","Yes"
"Senior Numerical Reasoning Test - HR","https://www.shl.com/assessments/senior-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at senior level",25,"Cognitive; Ability","Yes","Yes"
"Senior Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/senior-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at senior level",40,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - Sales","https://www.shl.com/assessments/junior-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at junior level",40,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - Management","https://www.shl.com/assessments/junior-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at junior level",28,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - Technical","https://www.shl.com/assessments/junior-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at junior level",34,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/junior-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at junior level",29,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - Finance","https://www.shl.com/assessments/junior-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at junior level",26,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - HR","https://www.shl.com/assessments/junior-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at junior level",31,"Cognitive; Ability","Yes","Yes"
"Junior Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/junior-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at junior level",32,"Cognitive; Ability","Yes","Yes"
"Intermediate Numerical Reasoning Test - Sales","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-sales","Evaluates numerical problem-solving and data interpretation skills tailored for Sales roles at intermediate level",32,"Cognitive; Ability","No","Yes"
"Intermediate Numerical Reasoning Test - Management","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-management","Evaluates numerical problem-solving and data interpretation skills tailored for Management roles at intermediate level",27,"Cognitive; Ability","No","Yes"
"Intermediate Numerical Reasoning Test - Technical","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-technical","Evaluates numerical problem-solving and data interpretation skills tailored for Technical roles at intermediate level",35,"Cognitive; Ability","No","Yes"
"Intermediate Numerical Reasoning Test - Customer Service","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-customer service","Evaluates numerical problem-solving and data interpretation skills tailored for Customer Service roles at intermediate level",35,"Cognitive; Ability","No","Yes"
"Intermediate Numerical Reasoning Test - Finance","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-finance","Evaluates numerical problem-solving and data interpretation skills tailored for Finance roles at intermediate level",38,"Cognitive; Ability","No","Yes"
"Intermediate Numerical Reasoning Test - HR","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-hr","Evaluates numerical problem-solving and data interpretation skills tailored for HR roles at intermediate level",40,"Cognitive; Ability","No","Yes"
"Intermediate Numerical Reasoning Test - Marketing","https://www.shl.com/assessments/intermediate-numerical-reasoning-test-marketing","Evaluates numerical problem-solving and data interpretation skills tailored for Marketing roles at intermediate level",35,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at advanced level",31,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at advanced level",30,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at advanced level",45,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at advanced level",46,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at advanced level",35,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at advanced level",40,"Cognitive; Ability","No","Yes"
"Advanced Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/advanced-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at advanced level",33,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at professional level",43,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at professional level",39,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at professional level",44,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - Customer Service","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-customer service","Measures verbal comprehension and critical thinking abilities tailored for Customer Service roles at professional level",33,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - Finance","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-finance","Measures verbal comprehension and critical thinking abilities tailored for Finance roles at professional level",36,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - HR","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-hr","Measures verbal comprehension and critical thinking abilities tailored for HR roles at professional level",48,"Cognitive; Ability","No","Yes"
"Professional Verbal Reasoning Assessment - Marketing","https://www.shl.com/assessments/professional-verbal-reasoning-assessment-marketing","Measures verbal comprehension and critical thinking abilities tailored for Marketing roles at professional level",47,"Cognitive; Ability","No","Yes"
"Executive Verbal Reasoning Assessment - Sales","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-sales","Measures verbal comprehension and critical thinking abilities tailored for Sales roles at executive level",33,"Cognitive; Ability","Yes","Yes"
"Executive Verbal Reasoning Assessment - Management","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-management","Measures verbal comprehension and critical thinking abilities tailored for Management roles at executive level",38,"Cognitive; Ability","Yes","Yes"
"Executive Verbal Reasoning Assessment - Technical","https://www.shl.com/assessments/executive-verbal-reasoning-assessment-technical","Measures verbal comprehension and critical thinking abilities tailored for Technical roles at executive level",37,"Cognitive; Ability","Yes","Yes"
